Sample.Name.in.GBS.Data	Management	GY_blue	GY_blup	GY_PEV	GY_pevReliability	GY_means
MARS-WEMA_270039	Managed Drought	2.47	2.682	0.004	0.045	2.47
MARS-WEMA_270040	Managed Drought	2.765	2.695	0.004	0.045	2.765
MARS-WEMA_270041	Managed Drought	2.475	2.682	0.004	0.045	2.475
MARS-WEMA_270042	Managed Drought	2.655	2.69	0.004	0.045	2.655
MARS-WEMA_270044	Managed Drought	2.688	2.692	0.004	0.045	2.688
MARS-WEMA_270045	Managed Drought	2.29	2.674	0.004	0.045	2.29
MARS-WEMA_270046	Managed Drought	2.535	2.685	0.004	0.045	2.535
MARS-WEMA_270047	Managed Drought	2.36	2.677	0.004	0.045	2.36
MARS-WEMA_270048	Managed Drought	2.878	2.7	0.004	0.045	2.878
MARS-WEMA_270049	Managed Drought	2.815	2.697	0.004	0.045	2.815
MARS-WEMA_270050	Managed Drought	2.24	2.671	0.004	0.045	2.24
MARS-WEMA_270051	Managed Drought	2.535	2.685	0.004	0.045	2.535
MARS-WEMA_270052	Managed Drought	2.718	2.693	0.004	0.045	2.718
MARS-WEMA_270053	Managed Drought	2.518	2.684	0.004	0.045	2.518
MARS-WEMA_270054	Managed Drought	2.505	2.683	0.004	0.045	2.505
MARS-WEMA_270055	Managed Drought	2.378	2.678	0.004	0.045	2.378
MARS-WEMA_270056	Managed Drought	2.498	2.683	0.004	0.045	2.498
MARS-WEMA_270057	Managed Drought	2.333	2.675	0.004	0.045	2.333
MARS-WEMA_270058	Managed Drought	2.13	2.666	0.004	0.045	2.13
MARS-WEMA_270059	Managed Drought	2.538	2.685	0.004	0.045	2.538
MARS-WEMA_270060	Managed Drought	2.345	2.676	0.004	0.045	2.345
MARS-WEMA_270061	Managed Drought	2.75	2.694	0.004	0.045	2.75
MARS-WEMA_270062	Managed Drought	2.777	2.695	0.004	0.045	2.777
MARS-WEMA_270063	Managed Drought	2.738	2.694	0.004	0.045	2.738
MARS-WEMA_270064	Managed Drought	2.728	2.693	0.004	0.045	2.728
MARS-WEMA_270065	Managed Drought	2.697	2.692	0.004	0.045	2.697
MARS-WEMA_270066	Managed Drought	2.697	2.692	0.004	0.045	2.697
MARS-WEMA_270067	Managed Drought	3.063	2.708	0.004	0.045	3.063
MARS-WEMA_270068	Managed Drought	2.403	2.679	0.004	0.045	2.403
MARS-WEMA_270069	Managed Drought	2.97	2.704	0.004	0.045	2.97
MARS-WEMA_270070	Managed Drought	3.09	2.71	0.004	0.045	3.09
MARS-WEMA_270071	Managed Drought	2.158	2.668	0.004	0.045	2.158
