Sample	Optimal_GY_blue	Optimal_GY_blup	Managed_Drought_GY_blue	Managed_Drought_GY_blup
MARS-WEMA_270040	5.959	6.709	2.765	2.695
MARS-WEMA_270041	6.925	6.999	2.475	2.682
MARS-WEMA_270042	7.576	7.194	2.655	2.69
MARS-WEMA_270043	8.101	7.352	NA	NA
MARS-WEMA_270044	7.335	7.122	2.688	2.692
MARS-WEMA_270045	8.015	7.326	2.29	2.674
MARS-WEMA_270046	7.234	7.091	2.535	2.685
MARS-WEMA_270047	6.87	6.982	2.36	2.677
MARS-WEMA_270048	7.43	7.15	2.878	2.7
MARS-WEMA_270049	7.178	7.075	2.815	2.697
MARS-WEMA_270050	6.555	6.888	2.24	2.671
MARS-WEMA_270051	6.491	6.869	2.535	2.685
MARS-WEMA_270052	6.811	6.965	2.718	2.693
MARS-WEMA_270053	7.82	7.267	2.518	2.684
MARS-WEMA_270054	6.384	6.837	2.505	2.683
MARS-WEMA_270055	6.818	6.967	2.378	2.678
MARS-WEMA_270056	7.374	7.133	2.498	2.683
MARS-WEMA_270057	7.186	7.077	2.333	2.675
MARS-WEMA_270058	7.781	7.256	2.13	2.666
MARS-WEMA_270059	7.153	7.067	2.538	2.685
MARS-WEMA_270060	7.476	7.164	2.345	2.676
MARS-WEMA_270061	6.475	6.864	2.75	2.694
MARS-WEMA_270062	6.335	6.822	2.777	2.695
MARS-WEMA_270063	6.911	6.995	2.738	2.694
MARS-WEMA_270064	6.066	6.741	2.728	2.693
MARS-WEMA_270065	7.945	7.305	2.697	2.692
MARS-WEMA_270066	7.45	7.156	2.697	2.692
MARS-WEMA_270067	7.884	7.286	3.063	2.708
MARS-WEMA_270068	7.71	7.234	2.403	2.679
MARS-WEMA_270069	7.196	7.08	2.97	2.704
MARS-WEMA_270070	7.03	7.03	3.09	2.71
MARS-WEMA_270071	6.438	6.853	2.158	2.668
MARS-WEMA_270072	6.26	6.799	2.657	2.69
MARS-WEMA_270073	7.239	7.093	2.285	2.673
MARS-WEMA_270074	7.158	7.069	3.022	2.707
MARS-WEMA_270075	7.761	7.25	3.108	2.71
MARS-WEMA_270076	5.774	6.654	2.7	2.692
MARS-WEMA_270077	7.505	7.173	2.687	2.691
MARS-WEMA_270078	6.258	6.799	3.438	2.725
MARS-WEMA_270079	7.466	7.161	2.695	2.692
MARS-WEMA_270080	7.578	7.194	2.563	2.686
MARS-WEMA_270081	7.333	7.121	2.582	2.687
MARS-WEMA_270082	7.784	7.256	3.025	2.707
MARS-WEMA_270083	7.028	7.03	2.395	2.678
MARS-WEMA_270084	6.131	6.761	3.102	2.71
MARS-WEMA_270085	6.579	6.895	2.647	2.69
MARS-WEMA_270086	6.205	6.783	2.64	2.689
MARS-WEMA_270087	6.751	6.947	2.3	2.674
MARS-WEMA_270088	6.694	6.929	2.338	2.676
MARS-WEMA_270089	7.734	7.241	2.35	2.676
MARS-WEMA_270090	7.274	7.103	3.25	2.717
MARS-WEMA_270091	5.871	6.683	2.698	2.692
MARS-WEMA_270092	7.02	7.027	2.21	2.67
MARS-WEMA_270093	7.165	7.071	2.873	2.7
MARS-WEMA_270094	6.228	6.79	2.598	2.687
MARS-WEMA_270095	6.488	6.868	2.132	2.666
MARS-WEMA_270096	7.631	7.211	2.773	2.695
MARS-WEMA_270097	6.484	6.866	2.567	2.686
MARS-WEMA_270098	6.461	6.86	2.967	2.704
MARS-WEMA_270099	7.198	7.081	3.29	2.719
MARS-WEMA_270100	6.008	6.724	3.113	2.711
MARS-WEMA_270101	6.845	6.975	2.63	2.689
MARS-WEMA_270102	6.731	6.941	2.77	2.695
MARS-WEMA_270103	7.46	7.159	2.872	2.7
MARS-WEMA_270104	8.224	7.388	3.092	2.71
MARS-WEMA_270105	6.284	6.807	2.427	2.68
MARS-WEMA_270106	6.235	6.792	2.358	2.677
MARS-WEMA_270107	6.599	6.901	2.348	2.676
MARS-WEMA_270108	6.999	7.021	2.225	2.671
MARS-WEMA_270109	5.906	6.693	2.528	2.684
MARS-WEMA_270110	6.973	7.013	2.558	2.686
MARS-WEMA_270111	6.846	6.975	2.663	2.69
MARS-WEMA_270112	7.558	7.188	3.107	2.71
MARS-WEMA_270113	6.925	6.999	2.978	2.705
MARS-WEMA_270114	7.506	7.173	2.873	2.7
MARS-WEMA_270115	7.87	7.282	2.535	2.685
MARS-WEMA_270116	6.945	7.005	2.577	2.686
MARS-WEMA_270117	7.113	7.055	2.788	2.696
MARS-WEMA_270118	7.205	7.083	2.815	2.697
MARS-WEMA_270119	6.893	6.989	2.493	2.683
MARS-WEMA_270120	7.903	7.292	3.068	2.709
MARS-WEMA_270121	6.523	6.878	2.61	2.688
MARS-WEMA_270122	7.3	7.111	2.898	2.701
MARS-WEMA_270123	7.248	7.096	2.26	2.672
MARS-WEMA_270124	6.496	6.87	2.898	2.701
MARS-WEMA_270125	6.746	6.945	2.497	2.683
MARS-WEMA_270126	8.333	7.421	2.465	2.681
MARS-WEMA_270127	6.823	6.968	2.442	2.68
MARS-WEMA_270128	7.154	7.067	2.993	2.705
MARS-WEMA_270129	6.533	6.881	2.913	2.702
MARS-WEMA_270130	6.896	6.99	2.978	2.705
MARS-WEMA_270131	7.968	7.311	2.895	2.701
MARS-WEMA_270132	6.909	6.994	1.8	2.651
MARS-WEMA_270133	7.353	7.127	2.872	2.7
MARS-WEMA_270134	6.939	7.003	2.72	2.693
MARS-WEMA_270135	7.316	7.116	2.818	2.697
MARS-WEMA_270136	6.78	6.955	2.798	2.696
MARS-WEMA_270137	7.31	7.114	2.703	2.692
MARS-WEMA_270138	7.653	7.217	2.147	2.667
MARS-WEMA_292915	6.071	6.743	3.352	2.721
MARS-WEMA_292916	7.736	7.242	2.543	2.685
MARS-WEMA_292917	6.981	7.016	2.707	2.692
MARS-WEMA_292918	7.374	7.133	2.717	2.693
MARS-WEMA_292919	7.779	7.255	3.168	2.713
MARS-WEMA_292920	7.59	7.198	2.523	2.684
MARS-WEMA_292921	7.156	7.068	2.6	2.688
