Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
AC	346	1.0	1792.1820031158054	21.151739446619235	2.065532232896685
AC	332	1.0421686746987953	1788.8805070508647	21.816451473879173	1.9029281318549924
AC	325	1.0646153846153845	1785.0029346173083	22.740219312520004	1.6775002093835785
AC	319	1.084639498432602	1781.6387244277425	23.35317076825537	1.5892476150813437
AC	312	1.108974358974359	1778.6579569741368	22.98418874137961	1.77281318916635
AC	306	1.130718954248366	1775.0821839377104	23.364917651240788	1.749791794974459
AC	300	1.1533333333333333	1769.432931847277	23.420221738317604	1.7692031827647037
AC	294	1.1768707482993197	1772.8459182723172	22.210689867603772	2.233666634480771
AC	288	1.2013888888888888	1766.6928949430442	23.21417025621293	2.03878915133548
AC	282	1.2269503546099292	1761.392316774356	23.845738266576255	1.9595426942444785
AC	277	1.2490974729241877	1785.0840937563148	20.023570804557316	3.375380950620937
AC	271	1.2767527675276753	1792.2886221679066	18.462648308467745	4.065477233164199
AC	266	1.300751879699248	1788.4558443208493	18.76888769180884	3.99815483305336
AC	260	1.3307692307692307	1782.9427102752602	19.29671995827399	3.85968769774841
AC	255	1.3568627450980393	1777.885482271979	19.95331528579466	3.696905285269604
AC	250	1.384	1772.6166934960663	20.554663559462394	3.5600919604498573
AC	245	1.4122448979591837	1767.6188752641933	21.13354412086854	3.449337221653858
AC	240	1.4416666666666667	1762.5470939140741	21.736646209049397	3.3434306410893413
AC	235	1.4723404255319148	1759.5577900639173	22.1681349056016	3.3181618160490385
AC	230	1.5043478260869565	1778.5525185284173	19.1734518854608	4.417792354281883
AC	226	1.5309734513274336	1777.1597540939404	19.358288522831348	4.4382536093296
AC	221	1.5656108597285068	1774.873133972032	19.493330333272	4.4594173836296
AC	217	1.5944700460829493	1769.8986331534763	20.018071165580114	4.333487949944346
AC	213	1.624413145539906	1766.0831033731693	20.285581649136567	4.287709366106698
AC	208	1.6634615384615385	1819.4207437888288	13.245014553456222	7.377424853644924
AC	204	1.696078431372549	1821.0561438180057	12.766003365403899	7.632142313324193
AC	200	1.73	1819.0130024364537	13.049867903012618	7.5676232809652415
AC	196	1.7653061224489797	1824.7281754151322	12.724086435374522	7.920773261641196
AC	192	1.8020833333333333	1822.3667423503746	13.050149454780044	7.831543663753508
AC	188	1.8404255319148937	1820.0673337067087	13.33463387187694	7.7658301715234845
AC	184	1.8804347826086956	1818.3981474805382	13.646371339303382	7.72115321746631
AC	181	1.9116022099447514	1822.0320893501012	13.244364100809614	7.984307406284607
AC	177	1.9548022598870056	1819.3567567006455	13.646737015993141	7.887165018368303
AC	174	1.9885057471264367	1819.620371380472	13.74448963978044	7.9340554470831215
AC	170	2.0352941176470587	1818.0445182857097	14.122945713160668	7.883010533045396
AC	167	2.07185628742515	1816.6340395992345	14.418292441824226	7.829658343595256
AC	163	2.1226993865030677	1825.138320386927	13.775424124192188	8.320493595215993
AC	160	2.1625	1823.322956354017	14.111357973799805	8.250675506743411
AC	157	2.2038216560509554	1821.6971761340294	14.489706392864184	8.203068248571082
AC	154	2.2467532467532467	1820.1072617347704	14.781062123153282	8.172388102381653
AC	151	2.2913907284768213	1822.4629421441648	14.478884247570896	8.364275358427395
AC	148	2.3378378378378377	1822.0353881268456	14.381739539061417	8.430418328974254
AC	145	2.386206896551724	1838.3743464467939	12.39086978675575	9.452887756297589
AC	142	2.436619718309859	1837.6421367253126	12.56237932461645	9.446633990801923
AC	139	2.4892086330935252	1837.0487031298396	12.81641222206042	9.42916684778877
AC	136	2.5441176470588234	1837.3334919657893	12.999987053402075	9.462281285779163
AC	133	2.601503759398496	1835.1935800672186	13.28706920384463	9.394401759920555
AC	131	2.6412213740458017	1834.123836459869	13.546569171212257	9.355401915466521
AC	128	2.703125	1832.7031661091412	13.997503610241505	9.29456057863095
AC	126	2.746031746031746	1835.3275336835804	13.63990067893054	9.494892844315679
AC	123	2.813008130081301	1834.5637727399371	13.826983691684749	9.49942867001061
AC	121	2.8595041322314048	1833.125213515191	13.928336841552463	9.477700682595886
AC	118	2.9322033898305087	1838.9003541650573	13.744498689081617	9.784401871005958
AC	116	2.9827586206896552	1845.4109228679356	12.858290865142926	10.203605217314205
AC	113	3.061946902654867	1843.4942096993748	13.30337449811638	10.129606214401983
AC	111	3.1171171171171173	1842.1069471048465	13.528591260834181	10.09804417665928
AC	109	3.1743119266055047	1840.7791377334756	13.82120487114366	10.06247377893195
AC	107	3.2336448598130842	1847.5637548058419	12.612506292360019	10.535866109543822
AC	105	3.295238095238095	1846.4413576973654	12.882612530904627	10.491264222661533
AC	102	3.392156862745098	1844.8035643383907	13.306386888449708	10.428304682182656
AC	100	3.46	1843.4142411588969	13.496434645658203	10.392980224842459
AC	98	3.5306122448979593	1842.4887539601764	13.805173405835879	10.363978373036936
AC	96	3.6041666666666665	1840.1560914780848	14.213070130058336	10.289700966974369
AC	94	3.6808510638297873	1839.1242179607839	14.538307768003282	10.25310836659605
AC	93	3.7204301075268815	1838.5323712083805	14.723078575778187	10.230559014681074
AC	91	3.802197802197802	1837.8975410974801	14.895088711511832	10.234723914087965
AC	89	3.8876404494382024	1837.3039943299123	15.170120275470754	10.23005580565527
AC	87	3.9770114942528734	1836.0118376342048	15.569973137589546	10.196755305434626
AC	85	4.070588235294117	1835.4481327769925	16.038002709337444	10.181601289973347
AC	84	4.119047619047619	1834.606057039227	16.13269145796867	10.182881146757106
AC	82	4.219512195121951	1835.1547311638874	16.206852852619924	10.247465691854817
AC	80	4.325	1833.9248889496446	16.62930908698937	10.219773744707837
AC	79	4.379746835443038	1833.4163912732556	16.698743769063586	10.221950312837102
AC	77	4.4935064935064934	1833.5176076134892	16.922365705008964	10.255003433977835
AC	76	4.552631578947368	1832.9447001167266	17.168910109677874	10.239523605487378
AC	74	4.675675675675675	1832.9823901901916	17.61899351284444	10.25307699942805
AC	73	4.739726027397261	1832.2696112187114	17.8763831792685	10.230476693774722
AC	71	4.873239436619718	1830.8076511026836	18.37873317193705	10.200039159661989
AC	70	4.942857142857143	1830.5970221858313	18.555110736210914	10.203968722997756
