<Trait>	HSL	AC	
Agostano	8.06	16
Aichi_Asahi	7.57	23.51
Ai-Chiao-Hong	7.71	23
NSF-TV_4	8.24	24
NSF-TV_5	9.71	20
ARC_7229	7.12	24
Arias	7.35	20
Asse_Y_Pung	8.57	23
Baber	7.68	24
Baghlani_Nangarhar	7.3	16.39
Baguamon_15	8.14	20.3
Basmati	8.76	23
NSF-TV_13	8.37	27
Beonjo	7.47	16.74
Bico_Branco	9.96	22
Binulawan	7.61	13.82
BJ_1	7.66	27
Black_Gora	8.08	24
Blue_Rose	8.21	18
Byakkoku_Y_5006_Seln	7.1	24
Caawa/Fortuna_6-103-15	8.76	22.89
Canella_De_Ferro	8.62	23
Carolina_Gold	9.67	23
Carolina_Gold2	8.82	25
Carolina_Gold_Sel	9.64	23
NSF-TV_27	10.18	17
Champa_Tong_54	8.86	23
Chau	7.81	-999
Chodongji	6.82	18
NSF-TV_34	7.44	-999
CO18	7.16	23.86
Cuba_65	9.26	22
NSF-TV_39	9.16	26
Dam	8.22	0
Dee_Geo_Woo_Gen	7.58	27
Dhala_Shaitta	8.41	25
Dom_Sufid	9.45	20
Dourado_Agulha	9.85	23
DV85	7.15	27
DZ78	7.65	25
Early_Wataribune	7.37	18
Eh_Ia_Chiu_	6.71	-999
Firooz	9.83	22
Fortuna	9.48	24
Gerdeh	8.94	17
Geumobyeo	7.16	-999
NSF-TV_57	7.33	24
Ghati_Kamma_Nangarhar	7.91	27
Gogo_Lempuk	7.27	19
Gotak_Gatik	7.84	19
Guan-Yin-Tsan	7.92	26
Gyehwa_3	8.59	18.95
Haginomae_Mochi	6.89	1.29
Heukgyeong	6.67	0.38
Honduras	9.71	25
Hsia_Chioh_Keh_Tu	-999	21.48
Hu_Lo_Tao	7.44	-999
IAC_25	9.3	22
Iguape_Cateto	8.64	22
IR_36	8	24
IR_8	8.42	24
IRAT_177	9.9	16
IRGA_409	9.52	26
Jambu	7.99	20
Jaya	8.56	26
JC149	7.37	24
Jhona_349	9.18	27
Jouiku_393G	8.56	14
K_65	9.08	26
Kalamkati	9.5	26
Kamenoo	6.94	15
Kaniranga	7.86	21
Kasalath	7.38	26
Keriting_Tingii	8.61	0
Khao_Gaew	7.25	25
NSF-TV_89	6.79	24
Kibi	6.95	17.51
Kinastano	7.97	23
Kitrana_508	9.47	17
Koshihikari	7.32	16
KU115	8.39	13
LAC_23	9.58	23
Lacrosse	8.14	14
