Trait	Marker	Locus	Locus_pos	marker_F	marker_p	markerR2	markerDF	markerMS	errorDF	errorMS	modelDF	modelMS
EarDia	PZB00859.1	1	157104	0.8276494899847198	0.43840160640231907	0.00714394088491042	2.0	11.863339268664276	225.0	14.333772221479046	4.0	24.03308382545663
EarDia	PZA01271.1	1	1947984	0.0053679997026477855	0.9416599121923893	2.3660648584514482E-5	1.0	0.07558647939777074	222.0	14.080939564971928	3.0	22.879553975418577
EarDia	PZA03613.2	1	2914066	0.14373723728941334	0.7049479924759525	6.181669165468427E-4	1.0	2.126031741166571	227.0	14.791099239550775	3.0	27.22412362263943
EarDia	PZA03613.1	1	2914171	0.017917318781791106	0.982243618828328	1.5301603638473213E-4	2.0	0.2617856867609589	229.0	14.610762355079865	4.0	18.952976415755984
EarDia	PZA03614.2	1	2915078	0.01772768056003648	0.8942029764864173	7.978104756412439E-5	1.0	0.26134264596657886	215.0	14.742066514653004	3.0	35.40139593922125
EarDia	PZA03614.1	1	2915242	2.663225412500869	0.1041698354391335	0.012061621180888346	1.0	39.90651898530177	213.0	14.984281389770926	3.0	38.9671883134932
EarDia	PZA00258.3	1	2973508	0.3634939779468454	0.6956794772390522	0.003369453444007905	2.0	5.27251496918575	210.0	14.505095789941153	4.0	20.881613322542194
EarDia	PZA02962.13	1	3205252	0.1952238608985381	0.8227948022963533	0.001756373214725341	2.0	2.802771945787299	217.0	14.356707898754024	4.0	19.034809482238416
EarDia	PZA02962.14	1	3205262	1.406118441202376	0.23701678610514712	0.006398954370587156	1.0	20.29980932398712	214.0	14.436770565805748	3.0	27.63153508593905
EarDia	PZA00599.25	1	3206090	0.19041014194643804	0.8267525051080115	0.001648585693821522	2.0	2.7767009510737353	226.0	14.582736626785433	4.0	18.22176141477803
EarDia	PZA02129.1	1	3706018	4.135601083747336	0.043153557876575335	0.017500642976532237	1.0	58.201273930762	227.0	14.073232101492941	3.0	43.680401582891285
EarDia	PZA00393.1	1	4175293	2.686761325192991	0.1026342431174451	0.011916374167424505	1.0	38.61696427470224	217.0	14.373053502222929	3.0	40.57044934724718
EarDia	PZA02869.8	1	4429897	1.2995270661797222	0.2555010221718896	0.0055704127629830485	1.0	18.863160412142406	227.0	14.515404028940528	3.0	30.438717378210338
EarDia	PZA02869.4	1	4429927	4.031672576334698	0.01911592068684478	0.03567270940654929	2.0	57.06043091330207	213.0	14.153041903312808	4.0	46.127601221778946
EarDia	PZA02869.2	1	4430055	1.7916413773608748	0.182180543026461	0.00828094199898847	1.0	26.460348919883472	209.0	14.768775299697598	3.0	36.2189166618767
EarDia	PZA02032.1	1	4490461	0.0976214350442062	0.7549884654218479	4.1756454268857484E-4	1.0	1.4345589126382947	228.0	14.695122152103984	3.0	28.35009669557682
EarDia	PZB00919.1	1	5353319	0.06023768799240514	0.8063473980187887	2.644486494966686E-4	1.0	0.8943946921936003	222.0	14.847759301558302	3.0	28.636152323499118
EarDia	PHM2244.142	1	5562502	3.2876985590764773	0.03917414897089127	0.028173091838482215	2.0	46.3963297965488	221.0	14.112099683975178	4.0	43.72214847962107
EarDia	PZA03093.10	1	8075572	1.2052930979343128	0.3015225632696545	0.010314676768811875	2.0	17.438997967223713	226.0	14.468678197121909	4.0	27.8684193021312
EarDia	PZA00181.5	1	8366368	1.731025513883405	0.17955036313820008	0.015476472390621401	2.0	24.606754569150553	216.0	14.215131072185898	4.0	27.355896177824548
EarDia	PZA00181.2	1	8366411	0.7258439936549932	0.4850258852838206	0.0061475158004227265	2.0	10.514161681056294	229.0	14.48542906322356	4.0	25.86450596983252
EarDia	PZA00528.1	1	8367944	0.027223939486273885	0.8691075278353376	1.2892259394988294E-4	1.0	0.41257266465481734	207.0	15.154774527133869	3.0	21.039876082266193
EarDia	PZA00175.2	1	8510027	0.06928917788172101	0.792610220087306	2.9428510629600214E-4	1.0	1.006504734697046	230.0	14.526146296831287	3.0	26.38504586289764
EarDia	PZA00447.6	1	9023947	1.964402754785324	0.14273702935175434	0.01752766046059345	2.0	28.768839335681378	216.0	14.645081954604224	4.0	29.835263950461012
EarDia	PZA00447.8	1	9024005	3.224051192053157	0.07403660633110233	0.014966373969618729	1.0	45.39969941549407	205.0	14.081569029486282	3.0	48.90838721126329
EarDia	PZB01915.1	1	9029842	3.475374425965548	0.06357382443613312	0.014668851845212133	1.0	50.26133802961749	228.0	14.462136123837535	3.0	43.010625866137616
